138.779999,139.830002,138.589996,139.779999,138.660889,21108100
139.369995,139.770004,138.600006,139.339996,138.224426,21750000
139.059998,139.979996,138.789993,139.520004,138.402985,17446300
138.949997,139.800003,138.820007,139,137.887146,18707200
138.740005,138.789993,137.050003,138.679993,137.569687,22155900
139.25,139.360001,138.639999,139.139999,138.026016,19612800
138.850006,139.429993,138.820007,139.199997,138.085541,17421700
139.300003,139.649994,138.839996,138.990005,137.877228,15309100
139.410004,140.75,139.029999,140.460007,139.335464,25691800
140.720001,141.020004,140.259995,140.690002,139.563614,19232000
141,141,139.889999,139.990005,138.869217,43885000
140.399994,141.5,140.229996,141.460007,140.327454,21542000
142.110001,142.800003,139.729996,139.839996,138.720413,39529900
139.850006,141.600006,139.759995,141.419998,140.287766,25860200
141.259995,141.580002,140.610001,140.919998,139.791763,20346300
141.5,141.740005,140.350006,140.639999,139.514008,22395600
139.389999,141.220001,138.619995,140.880005,139.752106,23575100
140.910004,144.039993,140.619995,143.800003,142.648712,33374800
143.679993,144.490005,143.190002,144.119995,142.966141,29190000
144.190002,144.5,143.5,143.929993,142.777664,21207300
143.720001,144.270004,143.009995,143.660004,142.509842,19661700
143.710007,144.119995,143.050003,143.699997,142.549515,19985700
143.25,144.889999,143.169998,144.770004,143.610962,19891400
144.220001,145.460007,143.809998,144.020004,142.866959,27717900
144.289993,144.520004,143.449997,143.660004,142.509842,21149000
143.729996,144.179993,143.270004,143.339996,142.192398,16672200
143.600006,143.880005,142.899994,143.169998,142.023758,18933400
142.940002,143.350006,140.059998,141.630005,140.496094,30379400
141.600006,142.149994,141.009995,141.800003,140.664734,20350000
141.910004,142.380005,141.050003,141.050003,139.920731,17822900
141.479996,141.880005,140.869995,141.830002,140.694489,16582100
141.410004,142.039993,141.110001,141.199997,140.069519,14697500
141.880005,142,140.449997,140.679993,139.553696,17328400
141.220001,142.919998,141.160004,142.440002,141.299591,23319600
142.440002,142.679993,141.850006,142.270004,141.130966,17320900
143.5,143.949997,143.179993,143.639999,142.48999,17134300
143.910004,144.899994,143.869995,144.529999,143.372864,18871500
144.470001,144.600006,143.380005,143.679993,142.529663,20041200
143.919998,144.160004,143.309998,143.789993,142.638794,14246300
144.089996,144.300003,143.270004,143.649994,142.499893,20860400
145.100006,147.199997,144.960007,146.580002,145.406448,33602900
147.539993,148.089996,146.839996,147.509995,146.32901,45352200
145.589996,147.490005,144.270004,147.059998,145.882614,45697000
146.520004,147.139999,145.809998,146.529999,145.356857,23371900
146.759995,148.979996,146.759995,148.960007,147.76741,27327700
149.029999,153.699997,149.029999,153.009995,151.784973,48752400
153.869995,154.880005,153.449997,153.990005,152.757141,39130400
153.630005,153.940002,152.110001,153.259995,152.032974,25805700
152.449997,154.070007,152.309998,153.949997,153.347809,27255100
154.699997,156.419998,154.669998,156.100006,155.48941,32527000
156.009995,156.649994,155.050003,155.699997,155.090958,26009700
155.940002,156.059998,154.720001,155.470001,154.861862,20048500
153.600006,154.570007,149.710007,150.25,149.662277,50767700
151.270004,153.339996,151.130005,152.539993,151.943314,33568200
153.380005,153.979996,152.630005,153.059998,152.461288,26960800
154,154.580002,152.910004,153.990005,153.38765,22966400
154.899994,154.899994,153.309998,153.800003,153.198395,19918900
153.839996,154.169998,152.669998,153.339996,152.740189,19178000
153.729996,154.350006,153.029999,153.869995,153.268112,19235600
154,154.240005,153.309998,153.610001,153.00914,21701100
153.419998,154.429993,153.330002,153.669998,153.068893,20126900
153.970001,154.169998,152.380005,152.759995,152.16246,24451200
153.169998,153.330002,152.220001,153.179993,152.580811,16404100
153.580002,155.449997,152.889999,155.449997,154.841934,27770700
154.339996,154.449997,153.460007,153.929993,153.327881,25331700
153.899994,155.809998,153.779999,154.449997,153.845856,26624900
155.020004,155.979996,154.479996,155.369995,154.762253,21069600
155.25,155.539993,154.399994,154.990005,154.383743,21250800
155.190002,155.190002,146.020004,148.979996,148.397247,64882700
145.740005,146.089996,142.509995,145.419998,144.851166,72307300
147.160004,147.449997,145.149994,146.589996,146.016586,34165400
147.5,147.5,143.839996,145.160004,144.592194,31531200
143.320007,144.479996,142.210007,144.289993,143.725586,32165400
143.779999,144.5,142.199997,142.270004,141.713501,50361100
143.660004,146.740005,143.660004,146.339996,145.767578,32541400
146.869995,146.869995,144.940002,145.009995,144.442764,24900100
145.520004,146.070007,144.610001,145.869995,145.299408,21265800
145.770004,146.699997,145.119995,145.630005,145.060364,19106300
145.130005,147.160004,145.110001,146.279999,145.707809,35439400
147.169998,148.279999,145.380005,145.820007,145.249619,25692400
145.009995,146.160004,143.619995,143.729996,143.167786,24761900
144.490005,146.110001,143.160004,145.830002,145.259567,22082400
144.710007,145.130005,142.279999,143.679993,143.117966,31499400
144.449997,144.960007,143.779999,144.020004,143.45665,23024100
144.880005,145.300003,143.100006,143.5,142.93869,14277800
143.690002,144.789993,142.720001,144.089996,143.526367,21569600
143.020004,143.5,142.410004,142.729996,142.171692,23510000
142.899994,144.75,142.899994,144.179993,143.616013,19201700
144.110001,145.949997,143.369995,145.059998,144.492584,21090600
144.729996,145.850006,144.380005,145.529999,144.960739,19781800
145.869995,146.179993,144.820007,145.740005,145.169922,24884500
145.5,148.490005,145.440002,147.770004,147.191986,25199400
147.970001,149.330002,147.330002,149.039993,148.457001,20132100
148.820007,150.899994,148.570007,149.559998,148.974976,23793500
149.199997,150.130005,148.669998,150.080002,149.49295,17868800
150.479996,151.419998,149.949997,151.020004,150.429276,20923000
151.5,151.740005,150.190002,150.339996,149.751923,17243700
149.990005,150.440002,148.880005,150.270004,149.682205,26252600
150.580002,152.440002,149.899994,152.089996,151.495071,21493200
151.800003,153.839996,151.800003,152.740005,152.142548,18853900
153.350006,153.929993,153.059998,153.460007,152.859726,15781000
153.75,153.990005,147.300003,150.559998,149.971069,32476300
149.889999,150.229996,149.190002,149.5,148.915207,17213700
149.899994,150.330002,148.130005,148.729996,148.148224,19845900
149.100006,150.220001,148.410004,150.050003,149.463058,35368600
159.279999,159.75,156.160004,157.139999,156.52533,69936800
157.050003,157.210007,155.020004,155.570007,154.961472,27097300
156.070007,157.399994,155.690002,156.389999,155.778259,20559900
157.059998,158.919998,156.669998,158.809998,158.188797,21870300
158.600006,161.830002,158.270004,160.080002,159.453827,36205900
159.259995,161.270004,159.110001,161.059998,160.429993,26131500
159.899994,160,154.630005,155.320007,155.320007,40804300
156.600006,158.570007,156.070007,157.479996,157.479996,26257100
159.320007,160.210007,158.75,159.850006,159.850006,22028200
160.660004,162.199997,160.139999,161.600006,161.600006,29465500
161.940002,162.509995,160.149994,160.949997,160.949997,27671600
160.520004,160.710007,157.839996,157.860001,157.860001,27940600
157.860001,159.5,156.720001,157.5,157.5,27428100
157.5,157.889999,155.110001,157.210007,157.210007,26368500
158.229996,160,158.020004,159.779999,159.779999,21604600
159.070007,160.470001,158.880005,159.979996,159.979996,19399100
160.429993,160.740005,158.550003,159.270004,159.270004,19818900
159.649994,160.559998,159.270004,159.860001,159.860001,25480100
160.139999,162,159.929993,161.470001,161.470001,25966000
160.100006,163.119995,160,162.910004,162.910004,29516900
163.800003,163.889999,162.610001,163.350006,163.350006,27269600
163.639999,164.520004,163.479996,164,164,26785100
164.800003,164.940002,163.630005,164.050003,164.050003,16591100
163.75,164.25,160.559998,162.080002,162.080002,29468500
162.710007,162.990005,160.520004,161.910004,161.910004,21651700
162.089996,162.240005,160.360001,161.259995,161.259995,21928500
160.860001,161.149994,158.529999,158.630005,158.630005,28352600
162.610001,163.960007,158.770004,160.710007,160.710007,64843507
